IDS_A,Eon_mJ,Eoff_mJ,Etotal_mJ
0,,,
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,0.38730165,0.10923433,0.49849373
13,0.4080961,0.10933059,0.51935468
14,0.42841946,0.10907011,0.53939417
15,0.44857491,0.10868782,0.55914081
16,0.46886168,0.10840227,0.57911654
17,0.48958054,0.10844127,0.59984597
18,0.51103635,0.10902574,0.62186047
19,0.53353431,0.11038755,0.64569275
20,0.55738658,0.11275826,0.67188721
21,0.5829129,0.1163725,0.70100085
22,0.61030946,0.12133492,0.73332977
23,0.63923871,0.12726279,0.76815621
24,0.66951227,0.13407026,0.80520635
25,0.70097427,0.14171122,0.84427791
26,0.73346581,0.15013751,0.88516429
27,0.76683033,0.15930359,0.9276633
28,0.80090928,0.16916345,0.97157048
29,0.83554188,0.1796708,1.016679
30,0.87056767,0.19078083,1.0627836
31,0.90582082,0.20244712,1.1096721
32,0.94128701,0.21461828,1.1572781
33,0.97743349,0.22727825,1.2060526
34,1.0142598,0.24049862,1.2560674
35,1.0517067,0.25435624,1.3073401
36,1.0897113,0.26892811,1.3598851
37,1.128209,0.28429015,1.4137137
38,1.1671321,0.30051716,1.4688332
39,1.206412,0.31768207,1.5252481
40,1.2459781,0.33585529,1.5829584
41,1.2857617,0.35510253,1.6419609
42,1.3255749,0.37561345,1.7022595
43,1.3653198,0.3974973,1.7638641
44,1.4051764,0.42057183,1.8267724
45,1.4453287,0.44465202,1.8909825
46,1.4859632,0.46955032,1.9564932
47,1.5272662,0.49508025,2.023304
48,1.5694264,0.52105377,2.0914148
49,1.6126336,0.54728222,2.1608263
50,1.6570791,0.57357588,2.2315399
51,1.7029468,0.59975766,2.3035619
52,1.7500739,0.62609992,2.3770026
53,1.7982728,0.65280362,2.4518753
54,1.8475005,0.67985309,2.5281217
55,1.8977148,0.70723717,2.6056884
56,1.9488771,0.73494596,2.6845269
57,2.0009511,0.7629704,2.7645921
58,2.0539038,0.79130254,2.8458428
59,2.1077036,0.81993519,2.9282407
60,2.1623219,0.84886216,3.0117509
61,2.2178495,0.87793247,3.0963118
62,2.2746879,0.90666656,3.1818448
63,2.3327375,0.93527918,3.2684658
64,2.3918321,0.96406984,3.3563089
65,2.4517992,0.99334234,3.4455063
66,2.512457,1.023409,3.5361888
67,2.573619,1.054582,3.6284832
68,2.635095,1.0871732,3.7225115
69,2.6966909,1.1214922,3.81839
70,2.7582855,1.1578602,3.9163196
71,2.8204389,1.196558,4.0171399
72,2.8832118,1.2372723,4.1205973
73,2.9464762,1.279586,4.2261461
74,3.0101001,1.3230701,4.3332253
75,3.0739514,1.3672939,4.4412716
76,3.1378966,1.4118238,4.5497176
77,3.2018011,1.4562209,4.6579895
78,3.2655314,1.5000513,4.7655194
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,
87,,,
88,,,
89,,,
90,,,
91,,,
92,,,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
100,,,
