Tj_C,Eon_body_mJ,Eoff_body_mJ,Etotal_body_mJ,Eon_schottky_mJ,Eoff_schottky_mJ,Etotal_schottky_mJ
133,2.1290509,0.6867016,2.8163152,1.1450431,0.79392495,1.9390692
134,2.1311034,0.68614908,2.8177854,1.1442713,0.79472997,1.9390969
135,2.1330953,0.68556077,2.8191583,1.1434966,0.79552464,1.9391126
136,2.1350657,0.68495005,2.8204868,1.1427235,0.79631077,1.9391222
137,2.1370538,0.68433031,2.8218236,1.1419566,0.79709016,1.9391316
138,2.1390986,0.68371493,2.8232211,1.1412008,0.79786462,1.9391461
139,2.1412392,0.6831173,2.8247322,1.1404605,0.79863593,1.9391719
140,2.1435147,0.68255081,2.8264094,1.1397405,0.7994059,1.9392149
141,2.1459643,0.68202883,2.8283055,1.1390454,0.80017634,1.9392809
142,2.1486271,0.68156477,2.8304734,1.1383798,0.80094905,1.9393758
143,2.1515422,0.681172,2.8329656,1.1377485,0.80172582,1.9395054
144,2.1547488,0.68086386,2.8358352,1.1371561,0.80250846,1.9396756
145,2.1582861,0.68065266,2.8391347,1.1366072,0.80329877,1.9398922
146,2.1621931,0.6805667,2.8429171,1.1361065,0.80409856,1.9401611
147,2.1665092,0.68057303,2.8472351,1.1356587,0.80490961,1.940488
148,2.1712733,0.68074224,2.8521414,1.1352683,0.80573375,1.940879
149,2.1765251,0.68105933,2.8576894,1.1349399,0.80657276,1.9413398
150,2.1823004,0.68153957,2.8639269,1.1346784,0.80742858,1.9418764
151,2.1885781,0.68216856,2.8708182,1.1344845,0.80829717,1.9424855
152,2.1952952,0.68291912,2.8782722,1.1343523,0.8091726,1.9431569
153,2.2024247,0.68378432,2.8862549,1.1342771,0.81005425,1.9438865
154,2.2099381,0.6847563,2.8947299,1.1342626,0.81094171,1.9446704
155,2.2178074,0.68582725,2.9036612,1.1342906,0.81183458,1.9455047
156,2.2260044,0.68698933,2.9130124,1.1343669,0.81273241,1.9463852
157,2.2345006,0.6882347,2.9227475,1.1344857,0.81363479,1.9473082
158,2.243268,0.68955549,2.9328302,1.1346429,0.8145413,1.9482697
159,2.2522783,0.69094386,2.9432243,1.1348344,0.8154515,1.9492657
160,2.2615032,0.69239194,2.9538936,1.1350564,0.81636498,1.9502922
161,2.2709145,0.69389187,2.9648019,1.1353049,0.81728132,1.9513453
162,2.2804839,0.69543579,2.975913,1.135576,0.81820008,1.952421
163,2.2901831,0.69701585,2.9871906,1.1358657,0.81912085,1.9535155
164,2.2999839,0.69862418,2.9985985,1.13617,0.8200432,1.9546246
165,2.3098581,0.70025291,3.0101004,1.1364852,0.82096671,1.9557446
166,2.3197773,0.70189419,3.0216603,1.1368071,0.82189096,1.9568714
167,2.3297133,0.70354016,3.0332417,1.1371319,0.82281551,1.958001
168,2.3396379,0.70518295,3.0448086,1.1374556,0.82373995,1.9591296
169,2.3495228,0.70681469,3.0563246,1.1377742,0.82466385,1.9602532
170,2.3593397,0.70842754,3.0677536,1.138084,0.8255868,1.9613677
171,2.3690603,0.71001363,3.0790594,1.1383808,0.82650835,1.9624693
172,2.3786565,0.7115651,3.0902056,1.1386608,0.8274281,1.9635541
173,2.3881,0.71307409,3.1011561,1.1389201,0.82834562,1.964618
174,2.3973623,0.7145327,3.1118745,1.1391546,0.82926048,1.965657
175,,,,1.1393603,0.83017225,1.9666672
176,,,,,,
177,,,,,,
178,,,,,,
179,,,,,,
180,,,,,,
181,,,,,,
182,,,,,,
183,,,,,,
184,,,,,,
185,,,,,,
