VDS_V,Ciss_pF,Coss_pF,Crss_pF
745,3145.783,225.77384,8.4841924
750,3145.4134,225.71368,8.497814
755,3145.0429,225.66121,8.5116468
760,3144.6749,225.61431,8.5256566
765,3144.3127,225.57095,8.5398104
770,3143.9593,225.52917,8.554076
775,3143.6177,225.4871,8.5684223
780,3143.2907,225.44292,8.5828192
785,3142.9834,225.39579,8.5972846
790,3142.701,225.35037,8.6120876
795,3142.4376,225.30731,8.6272002
800,3142.1879,225.26628,8.6425325
805,3141.9466,225.22695,8.657997
810,3141.7087,225.18901,8.6735087
815,3141.4691,225.15216,8.6889852
820,3141.2234,225.11612,8.7043464
825,3140.9668,225.08059,8.7195149
830,3140.6952,225.04531,8.7344154
835,3140.4042,225.01002,8.7489754
840,3140.0899,224.97446,8.7631238
845,3139.7489,224.93887,8.7768445
850,3139.3834,224.90371,8.7901979
855,3138.9985,224.86899,8.8032467
860,3138.5988,224.83469,8.8160521
865,3138.1891,224.80081,8.8286737
870,3137.7738,224.76734,8.8411695
875,3137.3573,224.73427,8.853596
880,3136.9438,224.70159,8.866008
885,3136.5373,224.66928,8.8784588
890,3136.1418,224.63735,8.8910003
895,3135.761,224.60578,8.9036826
900,3135.3985,224.57456,8.9165548
905,3135.0601,224.54381,8.9296378
910,3134.7415,224.51351,8.9428151
915,3134.4369,224.48357,8.9560584
920,3134.1434,224.45397,8.9693602
925,3133.8584,224.42471,8.9827131
930,3133.5791,224.39578,8.9961099
935,3133.303,224.36716,9.0095435
940,3133.0274,224.33883,9.023007
945,3132.7499,224.3108,9.0364938
950,3132.4683,224.28305,9.0499972
955,3132.18,224.25556,9.063511
960,3131.8831,224.22833,9.077029
965,3131.5753,224.20135,9.0905451
970,3131.2546,224.17465,9.1040548
975,3130.9219,224.14823,9.1175886
980,3130.5794,224.12192,9.1311625
985,3130.2289,224.09577,9.1447687
990,3129.8724,224.06982,9.1584004
995,3129.5115,224.04409,9.1720509
1000,3129.148,224.01863,9.185714
1005,3128.7837,223.99346,9.199383
1010,3128.4201,223.96862,9.2130521
1015,3128.0588,223.94414,9.2267152
1020,3127.7014,223.92004,9.2403663
1025,3127.3494,223.89634,9.2539998
1030,3127.0042,223.87309,9.2676102
1035,3126.6672,223.8503,9.281192
1040,3126.3397,223.82801,9.2947408
1045,3126.0226,223.80654,9.3083122
1050,3125.7148,223.78578,9.3219353
1055,3125.4147,223.76564,9.335594
1060,3125.1208,223.74602,9.3492723
1065,3124.8317,223.72682,9.3629551
1070,3124.546,223.70795,9.3766274
1075,3124.2622,223.68931,9.3902742
1080,3123.979,223.67083,9.4038818
1085,3123.695,223.65241,9.4174355
1090,3123.4091,223.63397,9.4309221
1095,3123.12,223.61543,9.4443279
1100,3122.8264,223.59671,9.4576401
1105,3122.5272,223.57774,9.470846
1110,3122.2212,223.55844,9.4839329
1115,3121.9074,223.53872,9.4968894
1120,3121.5859,223.51877,9.5096985
1125,3121.2588,223.49867,9.5223553
1130,3120.927,223.47842,9.5348792
1135,3120.5911,223.45804,9.5472885
1140,3120.2517,223.43755,9.5596014
1145,3119.9093,223.41697,9.5718345
1150,3119.5644,223.39632,9.5840043
1155,3119.2175,223.3756,9.5961266
1160,3118.8691,223.35484,9.6082164
1165,3118.5197,223.33405,9.6202892
1170,3118.1697,223.31324,9.6323595
1175,3117.8196,223.29244,9.6444425
1180,3117.4699,223.27165,9.6565526
1185,3117.1209,223.25088,9.6687054
1190,3116.7732,223.23016,9.6809159
1195,3116.4272,223.2095,9.6932
1200,,,
