VDS_V,Ciss_pF,Coss_pF,Crss_pF
0,4153.2987,3689.9181,1481.4734
5,3518.0549,2175.7728,522.49864
10,3346.7731,1612.3167,241.99433
15,3239.1691,1171.3386,27.588346
20,3232.424,1037.1608,16.510931
25,3228.8441,946.07458,12.777989
30,3225.9651,877.02991,11.076585
35,3223.1461,821.83863,10.219511
40,3221.6492,776.31923,9.7262118
45,3219.3932,738.1485,9.4413706
50,3217.471,705.06092,9.2200411
55,3216.2501,676.51067,9.1086879
60,3214.9627,651.24493,9.0227458
65,3214.0833,628.80411,8.9782568
70,3212.3327,608.90444,8.9550563
75,3211.5365,590.65323,8.9465191
80,3210.1068,574.09722,8.9667088
85,3209.1329,558.83981,8.9540404
90,3208.0148,545.01349,8.9752861
95,3206.7163,532.13216,8.980214
100,3205.5435,520.05047,8.9654162
105,3205.1743,508.872,8.9659964
110,3204.2952,498.39439,8.9762544
115,3203.2445,488.56186,8.9890396
120,3202.6562,479.35563,8.9941501
125,3201.9471,470.6967,8.9943929
130,3201.0184,462.52213,8.9900466
135,3199.9949,454.75021,8.9969297
140,3198.905,447.35099,9.0116582
145,3198.1523,440.39217,9.0098576
150,3197.6393,433.81119,8.9965386
155,3196.9334,427.50024,8.9901693
160,3196.0592,421.43436,8.9895596
165,3195.3053,415.64366,8.9897013
170,3194.728,410.10793,8.9910798
175,3194.1896,404.80678,8.9908476
180,3193.6263,399.72947,8.9861908
185,3193.0575,394.85257,8.9788277
190,3192.4607,390.15735,8.9704347
195,3191.8335,385.62612,8.9602494
200,3191.1925,381.25358,8.9501415
205,3190.5457,377.03618,8.9430687
210,3189.8728,372.95632,8.9399704
215,3189.2147,369.01657,8.9356165
220,3188.6273,365.22098,8.9248169
225,3188.1155,361.55632,8.9071186
230,3187.6147,358.00989,8.8885832
235,3187.0781,354.57154,8.8748564
240,3186.4989,351.22575,8.8659169
245,3185.9095,347.97818,8.8594314
250,3185.3506,344.83932,8.8540456
255,3184.8531,341.81551,8.8499483
260,3184.3991,338.89261,8.847833
265,3183.9497,336.05104,8.8450393
270,3183.4697,333.27367,8.8391275
275,3182.9591,330.54924,8.8293205
280,3182.4361,327.88353,8.8172261
285,3181.8865,325.28691,8.804416
290,3181.2983,322.76811,8.7922826
295,3180.6281,320.32657,8.7805153
300,3179.9085,317.95067,8.7686771
305,3179.2275,315.6315,8.7571188
310,3178.6645,313.36092,8.7461544
315,3178.2884,311.13174,8.7357418
320,3178.052,308.94327,8.7255914
325,3177.8639,306.80138,8.7159592
330,3177.6414,304.71123,8.7070853
335,3177.3147,302.67712,8.6992588
340,3176.9055,300.69518,8.6936268
345,3176.448,298.7594,8.6892169
350,3175.9643,296.86621,8.6844336
355,3175.4744,295.01228,8.677817
360,3174.9941,293.1945,8.6680133
365,3174.5053,291.41092,8.654436
370,3174.0088,289.66138,8.6386733
375,3173.5141,287.94577,8.6224991
380,3173.0301,286.26387,8.6075361
385,3172.5652,284.6154,8.5952678
390,3172.1335,282.99933,8.5861646
395,3171.7215,281.4131,8.5790625
400,3171.3167,279.85536,8.5729048
405,3170.9071,278.32483,8.5667124
410,3170.4817,276.8203,8.5595788
415,3170.0283,275.33988,8.550678
420,3169.5295,273.87923,8.5398828
425,3169.0054,272.44013,8.5280469
430,3168.4818,271.02513,8.5160463
435,3167.9826,269.63647,8.5046939
440,3167.5299,268.27614,8.4947427
445,3167.1454,266.94568,8.4869123
450,3166.8472,265.64226,8.4816116
455,3166.6088,264.36341,8.4780146
460,3166.3963,263.1076,8.4751653
465,3166.1781,261.87342,8.4721695
470,3165.9243,260.65949,8.4681896
475,3165.6072,259.46452,8.4624462
480,3165.2073,258.28711,8.4543727
485,3164.7402,257.1259,8.444401
490,3164.2307,255.98175,8.4332733
495,3163.7023,254.85557,8.421692
500,3163.1769,253.74816,8.4103113
505,3162.6753,252.66024,8.3997459
510,3162.2171,251.59244,8.3905712
515,3161.8114,250.54392,8.3829045
520,3161.441,249.51118,8.3760044
525,3161.0943,248.49456,8.3697558
530,3160.7612,247.49459,8.3640816
535,3160.4319,246.51171,8.3589084
540,3160.0972,245.54634,8.3541664
545,3159.7484,244.59882,8.3497893
550,3159.3797,243.66908,8.345742
555,3158.995,242.7489,8.3425701
560,3158.5945,241.83792,8.3402414
565,3158.1854,240.94052,8.3384
570,3157.7746,240.06074,8.3367091
575,3157.3687,239.20233,8.3348493
580,3156.9737,238.36878,8.3325183
585,3156.5956,237.56332,8.3294301
590,3156.2392,236.78844,8.3252947
595,3155.9068,236.029,8.3193128
600,3155.5975,235.27994,8.3116777
605,3155.3035,234.54796,8.3031617
610,3155.0172,233.83927,8.2944934
615,3154.7317,233.15966,8.2863634
620,3154.4401,232.51455,8.2794259
625,3154.136,231.90899,8.2742965
630,3153.8133,231.34773,8.2715543
635,3153.4666,230.8339,8.2716541
640,3153.0965,230.35982,8.2739059
645,3152.709,229.92106,8.277885
650,3152.31,229.51475,8.283319
655,3151.9054,229.13815,8.2899411
660,3151.5006,228.78865,8.29749
665,3151.1007,228.46372,8.305721
670,3150.7107,228.16097,8.3143946
675,3150.3355,227.87811,8.323284
680,3149.9798,227.61322,8.3321895
685,3149.6456,227.37236,8.3414938
690,3149.3247,227.15732,8.3514158
695,3149.0139,226.96498,8.3618817
700,3148.7096,226.79241,8.3728229
705,3148.4087,226.6368,8.3841748
710,3148.1081,226.49546,8.3958735
715,3147.8049,226.3658,8.4078581
720,3147.4961,226.24536,8.4200697
725,3147.1791,226.13174,8.432451
730,3146.8507,226.02302,8.4449556
735,3146.5053,225.92613,8.4577256
740,3146.1482,225.8439,8.4708175
