VDS_V,Ciss_pF,Coss_pF,Crss_pF
170,3193.8911,411.05322,8.9887152
171,3193.7834,409.9649,8.9890026
172,3193.677,408.88598,8.9892218
173,3193.5706,407.81641,8.9893395
174,3193.4635,406.75614,8.9893169
175,3193.3544,405.70511,8.9891272
176,3193.2426,404.66325,8.9887382
177,3193.1278,403.63056,8.9881231
178,3193.0145,402.60688,8.9873173
179,3192.9016,401.59161,8.9863588
180,3192.7887,400.58462,8.9852631
181,3192.6757,399.58576,8.9840463
182,3192.5625,398.59488,8.9827237
183,3192.4488,397.61183,8.9813105
184,3192.3345,396.63648,8.9798213
185,3192.2194,395.66868,8.97827
186,3192.1032,394.7083,8.9766704
187,3191.9859,393.7552,8.9750357
188,3191.8673,392.80924,8.9733787
189,3191.7472,391.8703,8.9717118
190,3191.6261,390.93829,8.9700397
191,3191.5054,390.013,8.9682674
192,3191.3831,389.09402,8.9663693
193,3191.2593,388.18137,8.9643748
194,3191.1343,387.27507,8.9623106
195,3191.0082,386.37514,8.9602024
196,3190.8812,385.48157,8.958075
197,3190.7535,384.59437,8.9559529
198,3190.6251,383.71355,8.9538596
199,3190.4964,382.83982,8.9518195
200,3190.354,381.88232,8.9496531
